iter	MultiClass
0	1.303777194
1	1.209097189
2	1.158580101
3	1.125643384
4	1.104045112
5	1.091646447
6	1.081612412
7	1.073547061
8	1.066162437
9	1.060536619
10	1.053950921
11	1.051054829
12	1.04757954
13	1.045525345
14	1.041464906
15	1.038527141
16	1.036605216
17	1.034114919
18	1.031046291
19	1.025958862
20	1.024140524
21	1.022065547
22	1.020174688
23	1.016361471
24	1.014977936
25	1.011635892
26	1.009876653
27	1.00842536
28	1.004477166
29	1.003255344
30	1.001530634
31	0.9997664162
32	0.9978010871
33	0.9968160953
34	0.9955059481
35	0.9945624125
36	0.9921087007
37	0.9916327656
38	0.9907461648
39	0.9896720908
40	0.9890139864
41	0.9875321692
42	0.9852583536
43	0.9844108277
44	0.983076218
45	0.9822876834
46	0.9812695699
47	0.9805570204
48	0.9791108144
49	0.9785463383
50	0.9779011146
51	0.9771479748
52	0.9759802725
53	0.9753078803
54	0.974574332
55	0.9738072291
56	0.9732950334
57	0.9718199271
58	0.9710731734
59	0.9706096861
60	0.9684389158
61	0.9678933819
62	0.965960092
63	0.9656294162
64	0.9637501385
65	0.9633287569
66	0.9629543518
67	0.9625624117
68	0.9621267422
69	0.9616924799
70	0.9612170861
71	0.959902501
72	0.9580362122
73	0.9574367744
74	0.9566879641
75	0.9562682061
76	0.9559322265
77	0.955032745
78	0.9547598698
79	0.9543918509
80	0.9540591186
81	0.9534642268
82	0.9530689312
83	0.9519965891
84	0.9513926052
85	0.9508769457
86	0.9504397609
87	0.9491409789
88	0.9485749875
89	0.9481396428
90	0.9476455233
91	0.9469440144
92	0.9462102496
93	0.9459041445
94	0.9451218879
95	0.9448690372
96	0.9446409738
97	0.9439984561
98	0.943091506
99	0.9424586217
100	0.9415488573
101	0.9411592985
102	0.9407944186
103	0.9403299571
104	0.9400588137
105	0.9397377714
106	0.9392228696
107	0.9388708704
108	0.9386264626
109	0.9383701482
110	0.9381312607
111	0.9378248308
112	0.9373913262
113	0.9369104121
114	0.9365962971
115	0.9360984974
116	0.9356590396
117	0.9352891806
118	0.9349901111
119	0.9347216738
120	0.9344547519
121	0.9342861126
122	0.9340863
123	0.9337472896
124	0.9329155669
125	0.9327597001
126	0.9325090143
127	0.9321848329
128	0.9317832594
129	0.9316134295
130	0.9306701105
131	0.9302961383
132	0.9300628793
133	0.9296859846
134	0.9294232841
135	0.929128436
136	0.9288214649
137	0.9285567078
138	0.9281516705
139	0.9273592393
140	0.9261147942
141	0.9251194113
142	0.9249080169
143	0.9246126276
144	0.9240838711
145	0.9231532162
146	0.9228919228
147	0.9226154757
148	0.9223229006
149	0.9219218683
150	0.9216555958
151	0.921294829
152	0.9210313708
153	0.9207350073
154	0.9204967692
155	0.920147043
156	0.9198803376
157	0.9193001666
158	0.9189952521
159	0.9187111199
160	0.9185263528
161	0.9182302058
162	0.9168724325
163	0.9164787605
164	0.916296483
165	0.9160406016
166	0.9159194801
167	0.9156957462
168	0.9154632449
169	0.9151495629
170	0.9149038561
171	0.9146323881
172	0.9143594047
173	0.9142020225
174	0.9139276319
175	0.9137330148
176	0.9135270325
177	0.9132349987
178	0.9130123473
179	0.9127934842
180	0.9121716406
181	0.9119858992
182	0.9118044876
183	0.9115533688
184	0.9109103099
185	0.9106362441
186	0.9102004664
187	0.9098985827
188	0.9097142485
189	0.9095492894
190	0.9090462942
191	0.9088266735
192	0.9083880816
193	0.9077909709
194	0.9074711192
195	0.9070764189
196	0.906917359
197	0.9066934628
198	0.9063558054
199	0.906149336
200	0.9059529871
201	0.9057082004
202	0.9053973327
203	0.9051662385
204	0.904955277
205	0.9047428003
206	0.9045745398
207	0.9042624273
208	0.9035754227
209	0.9033753936
210	0.9031176721
