iter	Passed	Remaining
0	3	5930
1	6	5404
2	9	5067
3	12	4931
4	15	4846
5	18	4792
6	21	4784
7	24	4777
8	27	4781
9	31	4784
10	34	4770
11	36	4720
12	39	4705
13	43	4761
14	46	4751
15	49	4742
16	52	4722
17	55	4712
18	58	4691
19	61	4675
20	64	4672
21	66	4643
22	69	4632
23	72	4622
24	75	4607
25	78	4596
26	81	4578
27	84	4576
28	87	4571
29	93	4722
30	96	4713
31	99	4707
32	102	4707
33	105	4702
34	108	4694
35	111	4688
36	114	4690
37	118	4705
38	121	4697
39	128	4838
40	128	4838
41	128	4838
42	128	4838
43	131	4820
44	131	4820
45	139	4992
46	143	5000
47	146	5002
48	150	5003
49	153	5003
50	156	5001
51	163	5117
52	167	5118
53	171	5120
54	174	5101
55	176	5083
56	179	5067
57	182	5056
58	186	5042
59	186	5042
60	186	5042
61	189	5031
62	192	5030
63	192	5030
64	192	5030
65	195	4993
66	197	4960
67	199	4934
68	201	4902
69	204	4878
70	206	4854
71	206	4854
72	209	4827
73	209	4827
74	209	4827
75	209	4827
76	212	4826
77	215	4807
78	217	4785
79	220	4765
80	222	4741
81	225	4724
82	228	4713
83	230	4693
84	232	4675
85	235	4655
86	237	4635
87	239	4615
88	242	4596
89	244	4579
90	247	4566
91	250	4571
92	255	4589
93	258	4587
94	264	4635
95	267	4636
96	271	4639
97	274	4626
98	277	4626
99	280	4621
100	286	4659
101	289	4660
102	292	4647
103	294	4630
104	297	4625
105	301	4627
106	307	4668
107	310	4664
108	313	4657
109	315	4642
110	319	4641
111	321	4629
112	324	4616
113	331	4667
114	335	4668
115	338	4663
116	342	4672
117	345	4663
118	347	4653
119	350	4638
120	352	4624
121	355	4611
122	358	4602
123	362	4609
124	365	4610
125	368	4599
126	371	4596
127	373	4582
128	376	4567
129	379	4562
130	383	4568
131	385	4555
132	388	4544
133	390	4530
134	392	4518
135	395	4511
136	398	4499
137	400	4486
138	402	4473
139	404	4461
140	408	4457
141	410	4445
142	414	4454
143	417	4445
144	419	4433
145	422	4427
146	426	4431
147	429	4429
148	432	4422
149	435	4414
150	438	4413
151	440	4402
152	443	4394
153	446	4386
154	448	4375
155	455	4407
156	457	4398
157	460	4389
158	464	4393
159	467	4393
160	470	4384
161	475	4403
162	480	4409
163	482	4399
164	482	4399
165	482	4399
166	485	4384
167	487	4374
168	490	4368
169	492	4359
170	495	4349
171	497	4340
172	500	4330
173	500	4330
174	502	4315
175	508	4340
176	508	4340
177	510	4327
178	513	4317
179	517	4325
180	520	4318
